"Cluster","CellCycle","Value","fraction","ymax","ymin"
"0","G1",78,0.0046937056204116,0.0046937056204116,0
"0","G2M",20,0.001203514261644,0.0058972198820556,0.0046937056204116
"0","S",11,0.0006619328439042,0.0065591527259598,0.0058972198820556
"0","gap",166.18,0.01,0.0165591527259598,0.0065591527259598
"1","G1",460,0.027680828017812,0.0442399807437718,0.0165591527259598
"1","G2M",236,0.0142014682873992,0.058441449031171,0.0442399807437718
"1","S",90,0.005415814177398,0.063857263208569,0.058441449031171
"1","gap",166.18,0.01,0.073857263208569,0.063857263208569
"2","G1",669,0.0402575520519918,0.114114815260561,0.073857263208569
"2","G2M",290,0.017450956793838,0.131565772054399,0.114114815260561
"2","S",178,0.0107112769286316,0.14227704898303,0.131565772054399
"2","gap",166.18,0.01,0.15227704898303,0.14227704898303
"3","G1",1539,0.0926104224335058,0.244887471416536,0.15227704898303
"3","G2M",434,0.0261162594776748,0.271003730894211,0.244887471416536
"3","S",363,0.0218437838488386,0.29284751474305,0.271003730894211
"3","gap",166.18,0.01,0.30284751474305,0.29284751474305
"4","G1",421,0.0253339752076062,0.328181489950656,0.30284751474305
"4","G2M",156,0.0093874112408232,0.337568901191479,0.328181489950656
"4","S",138,0.0083042484053436,0.345873149596823,0.337568901191479
"4","gap",166.18,0.01,0.355873149596823,0.345873149596823
"5","G1",771,0.0463954747863762,0.402268624383199,0.355873149596823
"5","G2M",234,0.0140811168612348,0.416349741244434,0.402268624383199
"5","S",259,0.0155855096882898,0.431935250932724,0.416349741244434
"5","gap",166.18,0.01,0.441935250932724,0.431935250932724
"6","G1",589,0.0354434950054158,0.477378745938139,0.441935250932724
"6","G2M",276,0.0166084968106872,0.493987242748827,0.477378745938139
"6","S",373,0.0224455409796606,0.516432783728487,0.493987242748827
"6","gap",166.18,0.01,0.526432783728487,0.516432783728487
"7","G1",214,0.0128776025995908,0.539310386328078,0.526432783728487
"7","G2M",91,0.0054759898904802,0.544786376218558,0.539310386328078
"7","S",98,0.0058972198820556,0.550683596100614,0.544786376218558
"7","gap",166.18,0.01,0.560683596100614,0.550683596100614
"8","G1",1760,0.105909255024672,0.666592851125286,0.560683596100614
"8","G2M",689,0.0414610663136358,0.708053917438922,0.666592851125286
"8","S",1077,0.0648092429895294,0.772863160428451,0.708053917438922
"8","gap",166.18,0.01,0.782863160428451,0.772863160428451
"9","G1",533,0.0320736550728126,0.814936815501264,0.782863160428451
"9","G2M",207,0.0124563726080154,0.827393188109279,0.814936815501264
"9","S",450,0.02707907088699,0.854472258996269,0.827393188109279
"9","gap",166.18,0.01,0.864472258996269,0.854472258996269
"10","G1",304,0.0182934167769888,0.882765675773258,0.864472258996269
"10","G2M",61,0.0036707184980142,0.886436394271272,0.882765675773258
"10","S",91,0.0054759898904802,0.891912384161752,0.886436394271272
"10","gap",166.18,0.01,0.901912384161752,0.891912384161752
"11","G1",530,0.031893127933566,0.933805512095318,0.901912384161752
"11","G2M",91,0.0054759898904802,0.939281501985799,0.933805512095318
"11","S",66,0.0039715970634252,0.943253099049224,0.939281501985799
"11","gap",166.18,0.01,0.953253099049224,0.943253099049224
"12","G1",1158,0.0696834757491876,1.02293657479841,0.953253099049224
"12","G2M",158,0.0095077626669876,1.0324443374654,1.02293657479841
"12","S",277,0.0166686725237694,1.04911300998917,1.0324443374654
"12","gap",166.18,0.01,1.05911300998917,1.04911300998917
"13","G1",498,0.0299675051149356,1.0890805151041,1.05911300998917
"13","G2M",125,0.007521964135275,1.09660247923938,1.0890805151041
"13","S",167,0.0100493440847274,1.10665182332411,1.09660247923938
"13","gap",166.18,0.01,1.11665182332411,1.10665182332411
"14","G1",161,0.0096882898062342,1.12634011313034,1.11665182332411
"14","G2M",26,0.0015645685401372,1.12790468167048,1.12634011313034
"14","S",16,0.0009628114093152,1.12886749307979,1.12790468167048
"14","gap",166.18,0.01,1.13886749307979,1.12886749307979
"15","G1",15,0.000902635696233,1.13977012877603,1.13886749307979
"15","G2M",4,0.0002407028523288,1.14001083162835,1.13977012877603
"15","S",1,6.01757130822e-05,1.14007100734144,1.14001083162835
"15","gap",166.18,0.01,1.15007100734144,1.14007100734144
"16","G1",116,0.0069803827175352,1.15705139005897,1.15007100734144
"16","G2M",26,0.0015645685401372,1.15861595859911,1.15705139005897
"16","S",17,0.0010229871223974,1.15963894572151,1.15861595859911
"16","gap",166.18,0.01,1.16963894572151,1.15963894572151
"17","G1",0,0,1.16963894572151,1.16963894572151
"17","G2M",5,0.000300878565411,1.16993982428692,1.16963894572151
"17","S",1,6.01757130822e-05,1.17,1.16993982428692
"17","gap",166.18,0.01,1.18,1.17
