"Cluster","CellCycle","Value","fraction","ymax","ymin"
"0","G1",32,0.000825401738502412,0.000825401738502412,0
"0","G2M",15,0.000386907064923005,0.00121230880342542,0.000825401738502412
"0","S",7,0.000180556630297403,0.00139286543372282,0.00121230880342542
"0","gap",387.69,0.01,0.0113928654337228,0.00139286543372282
"1","G1",464,0.011968325208285,0.0233611906420078,0.0113928654337228
"1","G2M",215,0.00554566793056308,0.0289068585725709,0.0233611906420078
"1","S",68,0.00175397869431762,0.0306608372668885,0.0289068585725709
"1","gap",387.69,0.01,0.0406608372668885,0.0306608372668885
"2","G1",600,0.0154762825969202,0.0561371198638087,0.0406608372668885
"2","G2M",199,0.00513296706131187,0.0612700869251206,0.0561371198638087
"2","S",130,0.00335319456266605,0.0646232814877866,0.0612700869251206
"2","gap",387.69,0.01,0.0746232814877866,0.0646232814877866
"3","G1",1608,0.0414764373597462,0.116099718847533,0.0746232814877866
"3","G2M",376,0.00969847042740334,0.125798189274936,0.116099718847533
"3","S",375,0.00967267662307514,0.135470865898011,0.125798189274936
"3","gap",387.69,0.01,0.145470865898011,0.135470865898011
"4","G1",1469,0.0378910985581263,0.183361964456138,0.145470865898011
"4","G2M",451,0.0116330057520184,0.194994970208156,0.183361964456138
"4","S",558,0.0143929428151358,0.209387913023292,0.194994970208156
"4","gap",387.69,0.01,0.219387913023292,0.209387913023292
"5","G1",1883,0.0485697335500013,0.267957646573293,0.219387913023292
"5","G2M",1403,0.0361887074724651,0.304146354045758,0.267957646573293
"5","S",1555,0.0401093657303516,0.34425571977611,0.304146354045758
"5","gap",387.69,0.01,0.35425571977611,0.34425571977611
"6","G1",1935,0.0499110113750677,0.404166731151178,0.35425571977611
"6","G2M",1615,0.0416569939900436,0.445823725141221,0.404166731151178
"6","S",2034,0.0524645980035595,0.498288323144781,0.445823725141221
"6","gap",387.69,0.01,0.508288323144781,0.498288323144781
"7","G1",2399,0.0618793365833527,0.570167659728133,0.508288323144781
"7","G2M",1050,0.0270834945446104,0.597251154272744,0.570167659728133
"7","S",1515,0.0390776135572236,0.636328767829967,0.597251154272744
"7","gap",387.69,0.01,0.646328767829967,0.636328767829967
"8","G1",1733,0.0447006629007712,0.691029430730739,0.646328767829967
"8","G2M",1152,0.0297144625860868,0.720743893316825,0.691029430730739
"8","S",1642,0.042353426706905,0.76309732002373,0.720743893316825
"8","gap",387.69,0.01,0.77309732002373,0.76309732002373
"9","G1",448,0.0115556243390338,0.784652944362764,0.77309732002373
"9","G2M",283,0.0072996466248807,0.791952590987645,0.784652944362764
"9","S",558,0.0143929428151358,0.806345533802781,0.791952590987645
"9","gap",387.69,0.01,0.816345533802781,0.806345533802781
"10","G1",676,0.0174366117258634,0.833782145528644,0.816345533802781
"10","G2M",250,0.00644845108205009,0.840230596610694,0.833782145528644
"10","S",286,0.0073770280378653,0.847607624648559,0.840230596610694
"10","gap",387.69,0.01,0.857607624648559,0.847607624648559
"11","G1",932,0.0240398256338827,0.881647450282442,0.857607624648559
"11","G2M",247,0.00637106966906549,0.888018519951508,0.881647450282442
"11","S",174,0.00448812195310686,0.892506641904614,0.888018519951508
"11","gap",387.69,0.01,0.902506641904614,0.892506641904614
"12","G1",818,0.0210993319404679,0.923605973845082,0.902506641904614
"12","G2M",223,0.00575201836518868,0.929357992210271,0.923605973845082
"12","S",338,0.00871830586293172,0.938076298073203,0.929357992210271
"12","gap",387.69,0.01,0.948076298073203,0.938076298073203
"13","G1",912,0.0235239495473187,0.971600247620522,0.948076298073203
"13","G2M",451,0.0116330057520184,0.98323325337254,0.971600247620522
"13","S",557,0.0143671490108076,0.997600402383348,0.98323325337254
"13","gap",387.69,0.01,1.00760040238335,0.997600402383348
"14","G1",2327,0.0600221826717223,1.06762258505507,1.00760040238335
"14","G2M",619,0.015966364879156,1.08358894993423,1.06762258505507
"14","S",369,0.00951791379710593,1.09310686373133,1.08358894993423
"14","gap",387.69,0.01,1.10310686373133,1.09310686373133
"15","G1",437,0.0112718924914236,1.11437875622276,1.10310686373133
"15","G2M",104,0.00268255565013284,1.11706131187289,1.11437875622276
"15","S",62,0.00159921586834842,1.11866052774124,1.11706131187289
"15","gap",387.69,0.01,1.12866052774124,1.11866052774124
"16","G1",314,0.00809925455905492,1.13675978230029,1.12866052774124
"16","G2M",47,0.00121230880342542,1.13797209110372,1.13675978230029
"16","S",38,0.000980164564471614,1.13895225566819,1.13797209110372
"16","gap",387.69,0.01,1.14895225566819,1.13895225566819
"17","G1",13,0.000335319456266605,1.14928757512446,1.14895225566819
"17","G2M",578,0.0149088189016998,1.16419639402615,1.14928757512446
"17","S",225,0.00580360597384508,1.17,1.16419639402615
"17","gap",387.69,0.01,1.18,1.17
