"Cluster","CellCycle","Value","fraction","ymax","ymin"
"0","G1",987,0.0599307790394074,0.0599307790394074,0
"0","G2M",12,0.000728641690448722,0.0606594207298561,0.0599307790394074
"0","S",93,0.00564697310097759,0.0663063938308337,0.0606594207298561
"0","gap",164.69,0.01,0.0763063938308337,0.0663063938308337
"1","G1",113,0.00686137591839213,0.0831677697492258,0.0763063938308337
"1","G2M",7,0.000425040986095088,0.0835928107353209,0.0831677697492258
"1","S",18,0.00109296253567308,0.084685773270994,0.0835928107353209
"1","gap",164.69,0.01,0.094685773270994,0.084685773270994
"2","G1",313,0.0190054040925375,0.113691177363531,0.094685773270994
"2","G2M",5,0.000303600704353634,0.113994778067885,0.113691177363531
"2","S",24,0.00145728338089744,0.115452061448783,0.113994778067885
"2","gap",164.69,0.01,0.125452061448783,0.115452061448783
"3","G1",78,0.00473617098791669,0.130188232436699,0.125452061448783
"3","G2M",3,0.00018216042261218,0.130370392859311,0.130188232436699
"3","S",7,0.000425040986095088,0.130795433845407,0.130370392859311
"3","gap",164.69,0.01,0.140795433845407,0.130795433845407
"4","G1",205,0.012447628878499,0.153243062723906,0.140795433845407
"4","G2M",14,0.000850081972190176,0.154093144696096,0.153243062723906
"4","S",20,0.00121440281741454,0.15530754751351,0.154093144696096
"4","gap",164.69,0.01,0.16530754751351,0.15530754751351
"5","G1",174,0.0105653045115065,0.175872852025017,0.16530754751351
"5","G2M",1,6.07201408707268e-05,0.175933572165887,0.175872852025017
"5","S",16,0.000971522253931629,0.176905094419819,0.175933572165887
"5","gap",164.69,0.01,0.186905094419819,0.176905094419819
"6","G1",177,0.0107474649341186,0.197652559353938,0.186905094419819
"6","G2M",7,0.000425040986095088,0.198077600340033,0.197652559353938
"6","S",30,0.0018216042261218,0.199899204566155,0.198077600340033
"6","gap",164.69,0.01,0.209899204566155,0.199899204566155
"7","G1",423,0.0256846195883174,0.235583824154472,0.209899204566155
"7","G2M",8,0.000485761126965815,0.236069585281438,0.235583824154472
"7","S",42,0.00255024591657053,0.238619831198008,0.236069585281438
"7","gap",164.69,0.01,0.248619831198008,0.238619831198008
"8","G1",1645,0.0998846317323456,0.348504462930354,0.248619831198008
"8","G2M",119,0.00722569676361649,0.35573015969397,0.348504462930354
"8","S",163,0.00989738296192847,0.365627542655899,0.35573015969397
"8","gap",164.69,0.01,0.375627542655899,0.365627542655899
"9","G1",240,0.0145728338089744,0.390200376464873,0.375627542655899
"9","G2M",6,0.000364320845224361,0.390564697310098,0.390200376464873
"9","S",34,0.00206448478960471,0.392629182099702,0.390564697310098
"9","gap",164.69,0.01,0.402629182099702,0.392629182099702
"10","G1",661,0.0401360131155504,0.442765195215253,0.402629182099702
"10","G2M",15,0.000910802113060902,0.443675997328314,0.442765195215253
"10","S",41,0.0024895257756998,0.446165523104014,0.443675997328314
"10","gap",164.69,0.01,0.456165523104014,0.446165523104014
"11","G1",10,0.000607201408707268,0.456772724512721,0.456165523104014
"11","G2M",518,0.0314530329710365,0.488225757483757,0.456772724512721
"11","S",306,0.0185803631064424,0.5068061205902,0.488225757483757
"11","gap",164.69,0.01,0.5168061205902,0.5068061205902
"12","G1",163,0.00989738296192847,0.526703503552128,0.5168061205902
"12","G2M",44,0.00267168619831198,0.52937518975044,0.526703503552128
"12","S",107,0.00649705507316777,0.535872244823608,0.52937518975044
"12","gap",164.69,0.01,0.545872244823608,0.535872244823608
"13","G1",16,0.000971522253931629,0.54684376707754,0.545872244823608
"13","G2M",154,0.00935090169409193,0.556194668771632,0.54684376707754
"13","S",543,0.0329710364928047,0.589165705264436,0.556194668771632
"13","gap",164.69,0.01,0.599165705264436,0.589165705264436
"14","G1",0,0,0.599165705264436,0.599165705264436
"14","G2M",815,0.0494869148096424,0.648652620074079,0.599165705264436
"14","S",413,0.0250774181796102,0.673730038253689,0.648652620074079
"14","gap",164.69,0.01,0.683730038253689,0.673730038253689
"15","G1",1579,0.0958771024348777,0.779607140688566,0.683730038253689
"15","G2M",373,0.0226486125447811,0.802255753233348,0.779607140688566
"15","S",114,0.00692209605926286,0.80917784929261,0.802255753233348
"15","gap",164.69,0.01,0.81917784929261,0.80917784929261
"16","G1",2405,0.146031938794098,0.965209788086708,0.81917784929261
"16","G2M",743,0.04511506466695,1.01032485275366,0.965209788086708
"16","S",262,0.0159086769081304,1.02623352966179,1.01032485275366
"16","gap",164.69,0.01,1.03623352966179,1.02623352966179
"17","G1",1330,0.0807577873580667,1.11699131701986,1.03623352966179
"17","G2M",323,0.0196126055012448,1.1366039225211,1.11699131701986
"17","S",174,0.0105653045115065,1.14716922703261,1.1366039225211
"17","gap",164.69,0.01,1.15716922703261,1.14716922703261
"18","G1",127,0.00771145789058231,1.16488068492319,1.15716922703261
"18","G2M",55,0.00333960774788998,1.16822029267108,1.16488068492319
"18","S",46,0.00279312648005343,1.17101341915113,1.16822029267108
"18","gap",164.69,0.01,1.18101341915113,1.17101341915113
"19","G1",89,0.00540409253749469,1.18641751168863,1.18101341915113
"19","G2M",12,0.000728641690448722,1.18714615337908,1.18641751168863
"19","S",47,0.00285384662092416,1.19,1.18714615337908
"19","gap",164.69,0.01,1.2,1.19
