"Cluster","CellCycle","Value","fraction","ymax","ymin"
"0","G1",619,0.0398609054027948,0.0398609054027948,0
"0","G2M",11,0.000708352115396999,0.0405692575181918,0.0398609054027948
"0","S",96,0.00618198209801017,0.0467512396162019,0.0405692575181918
"0","gap",155.29,0.01,0.0567512396162019,0.0467512396162019
"1","G1",260,0.0167428681821109,0.0734941077983128,0.0567512396162019
"1","G2M",12,0.000772747762251272,0.0742668555605641,0.0734941077983128
"1","S",27,0.00173868246506536,0.0760055380256295,0.0742668555605641
"1","gap",155.29,0.01,0.0860055380256295,0.0760055380256295
"2","G1",589,0.0379290359971666,0.123934574022796,0.0860055380256295
"2","G2M",10,0.000643956468542727,0.124578530491339,0.123934574022796
"2","S",49,0.00315538669585936,0.127733917187198,0.124578530491339
"2","gap",155.29,0.01,0.137733917187198,0.127733917187198
"3","G1",155,0.00998132526241226,0.14771524244961,0.137733917187198
"3","G2M",2,0.000128791293708545,0.147844033743319,0.14771524244961
"3","S",12,0.000772747762251272,0.14861678150557,0.147844033743319
"3","gap",155.29,0.01,0.15861678150557,0.14861678150557
"4","G1",561,0.036125957885247,0.194742739390817,0.15861678150557
"4","G2M",56,0.00360615622383927,0.198348895614656,0.194742739390817
"4","S",133,0.00856462103161826,0.206913516646275,0.198348895614656
"4","gap",155.29,0.01,0.216913516646275,0.206913516646275
"5","G1",293,0.0188679245283019,0.235781441174577,0.216913516646275
"5","G2M",7,0.000450769527979909,0.236232210702557,0.235781441174577
"5","S",26,0.00167428681821109,0.237906497520768,0.236232210702557
"5","gap",155.29,0.01,0.247906497520768,0.237906497520768
"6","G1",350,0.0225384763989954,0.270444973919763,0.247906497520768
"6","G2M",10,0.000643956468542727,0.271088930388306,0.270444973919763
"6","S",66,0.00425011269238199,0.275339043080688,0.271088930388306
"6","gap",155.29,0.01,0.285339043080688,0.275339043080688
"7","G1",398,0.0256294674480005,0.310968510528688,0.285339043080688
"7","G2M",6,0.000386373881125636,0.311354884409814,0.310968510528688
"7","S",55,0.003541760576985,0.314896644986799,0.311354884409814
"7","gap",155.29,0.01,0.324896644986799,0.314896644986799
"8","G1",725,0.0466868439693477,0.371583488956147,0.324896644986799
"8","G2M",48,0.00309099104900509,0.374674480005152,0.371583488956147
"8","S",99,0.00637516903857299,0.381049649043725,0.374674480005152
"8","gap",155.29,0.01,0.391049649043725,0.381049649043725
"9","G1",500,0.0321978234271363,0.423247472470861,0.391049649043725
"9","G2M",18,0.00115912164337691,0.424406594114238,0.423247472470861
"9","S",93,0.00598879515744736,0.430395389271685,0.424406594114238
"9","gap",155.29,0.01,0.440395389271685,0.430395389271685
"10","G1",506,0.032584197308262,0.472979586579947,0.440395389271685
"10","G2M",18,0.00115912164337691,0.474138708223324,0.472979586579947
"10","S",25,0.00160989117135682,0.475748599394681,0.474138708223324
"10","gap",155.29,0.01,0.485748599394681,0.475748599394681
"11","G1",10,0.000643956468542727,0.486392555863224,0.485748599394681
"11","G2M",442,0.0284628759095885,0.514855431772812,0.486392555863224
"11","S",215,0.0138450640736686,0.528700495846481,0.514855431772812
"11","gap",155.29,0.01,0.538700495846481,0.528700495846481
"12","G1",223,0.0143602292485028,0.553060725094984,0.538700495846481
"12","G2M",40,0.00257582587417091,0.555636550969155,0.553060725094984
"12","S",122,0.00785626891622126,0.563492819885376,0.555636550969155
"12","gap",155.29,0.01,0.573492819885376,0.563492819885376
"13","G1",26,0.00167428681821109,0.575167106703587,0.573492819885376
"13","G2M",118,0.00759868632880417,0.582765793032391,0.575167106703587
"13","S",411,0.0264666108571061,0.609232403889497,0.582765793032391
"13","gap",155.29,0.01,0.619232403889497,0.609232403889497
"14","G1",0,0,0.619232403889497,0.619232403889497
"14","G2M",683,0.0439822268014682,0.663214630690965,0.619232403889497
"14","S",327,0.0210573765213472,0.684272007212312,0.663214630690965
"14","gap",155.29,0.01,0.694272007212312,0.684272007212312
"15","G1",1717,0.110567325648786,0.804839332861099,0.694272007212312
"15","G2M",196,0.0126215467834374,0.817460879644536,0.804839332861099
"15","S",63,0.00405692575181918,0.821517805396355,0.817460879644536
"15","gap",155.29,0.01,0.831517805396355,0.821517805396355
"16","G1",2398,0.154420761156546,0.985938566552901,0.831517805396355
"16","G2M",448,0.0288492497907141,1.01478781634362,0.985938566552901
"16","S",185,0.0119131946680404,1.02670101101166,1.01478781634362
"16","gap",155.29,0.01,1.03670101101166,1.02670101101166
"17","G1",1362,0.0877068710155194,1.12440788202718,1.03670101101166
"17","G2M",311,0.0200270461716788,1.14443492819885,1.12440788202718
"17","S",172,0.0110760512589349,1.15551097945779,1.14443492819885
"17","gap",155.29,0.01,1.16551097945779,1.15551097945779
"18","G1",62,0.0039925301049649,1.16950350956275,1.16551097945779
"18","G2M",31,0.00199626505248245,1.17149977461524,1.16950350956275
"18","S",34,0.00218945199304527,1.17368922660828,1.17149977461524
"18","gap",155.29,0.01,1.18368922660828,1.17368922660828
"19","G1",64,0.00412132139867345,1.18781054800695,1.18368922660828
"19","G2M",5,0.000321978234271363,1.18813252624123,1.18781054800695
"19","S",29,0.00186747375877391,1.19,1.18813252624123
"19","gap",155.29,0.01,1.2,1.19
