"Cluster","CellCycle","Value","fraction","ymax","ymin"
"0","G1",2808,0.0706610634389391,0.0706610634389391,0
"0","G2M",4533,0.114069302196834,0.184730365635773,0.0706610634389391
"0","S",2441,0.0614258033669695,0.246156169002743,0.184730365635773
"0","gap",397.39,0.01,0.256156169002743,0.246156169002743
"1","G1",388,0.00976370819597876,0.265919877198722,0.256156169002743
"1","G2M",696,0.0175142806814464,0.283434157880168,0.265919877198722
"1","S",284,0.00714663177231435,0.290580789652482,0.283434157880168
"1","gap",397.39,0.01,0.300580789652482,0.290580789652482
"2","G1",1135,0.028561362892876,0.329142152545358,0.300580789652482
"2","G2M",765,0.0192506102317622,0.348392762777121,0.329142152545358
"2","S",662,0.0166586980044792,0.3650514607816,0.348392762777121
"2","gap",397.39,0.01,0.3750514607816,0.3650514607816
"3","G1",899,0.0226226125468683,0.397674073328468,0.3750514607816
"3","G2M",648,0.0163063992551398,0.413980472583608,0.397674073328468
"3","S",1229,0.0309267973527265,0.444907269936335,0.413980472583608
"3","gap",397.39,0.01,0.454907269936335,0.444907269936335
"4","G1",7188,0.180880243589421,0.635787513525756,0.454907269936335
"4","G2M",1971,0.0495986310677169,0.685386144593472,0.635787513525756
"4","S",2381,0.0599159515840862,0.745302096177559,0.685386144593472
"4","gap",397.39,0.01,0.755302096177559,0.745302096177559
"5","G1",1501,0.0377714587684642,0.793073554946023,0.755302096177559
"5","G2M",416,0.0104683056946576,0.80354186064068,0.793073554946023
"5","S",562,0.0141422783663404,0.817684139007021,0.80354186064068
"5","gap",397.39,0.01,0.827684139007021,0.817684139007021
"6","G1",386,0.00971337980321598,0.837397518810237,0.827684139007021
"6","G2M",245,0.0061652281134402,0.843562746923677,0.837397518810237
"6","S",222,0.00558645159666826,0.849149198520345,0.843562746923677
"6","gap",397.39,0.01,0.859149198520345,0.849149198520345
"7","G1",547,0.0137648154206195,0.872914013940965,0.859149198520345
"7","G2M",548,0.0137899796170009,0.886703993557966,0.872914013940965
"7","S",259,0.00651752686277964,0.893221520420745,0.886703993557966
"7","gap",397.39,0.01,0.903221520420745,0.893221520420745
"8","G1",122,0.0030700319585294,0.906291552379275,0.903221520420745
"8","G2M",64,0.00161050856840887,0.907902060947684,0.906291552379275
"8","S",75,0.00188731472860414,0.909789375676288,0.907902060947684
"8","gap",397.39,0.01,0.919789375676288,0.909789375676288
"9","G1",436,0.0109715896222854,0.930760965298573,0.919789375676288
"9","G2M",138,0.00347265910063162,0.934233624399205,0.930760965298573
"9","S",215,0.00541030222199854,0.939643926621203,0.934233624399205
"9","gap",397.39,0.01,0.949643926621203,0.939643926621203
"10","G1",618,0.0155514733636981,0.965195399984901,0.949643926621203
"10","G2M",256,0.00644203427363547,0.971637434258537,0.965195399984901
"10","S",252,0.00634137748810992,0.977978811746647,0.971637434258537
"10","gap",397.39,0.01,0.987978811746647,0.977978811746647
"11","G1",59,0.00148468758650193,0.989463499333149,0.987978811746647
"11","G2M",72,0.00181182213945998,0.991275321472609,0.989463499333149
"11","S",59,0.00148468758650193,0.992760009059111,0.991275321472609
"11","gap",397.39,0.01,1.00276000905911,0.992760009059111
"12","G1",131,0.0032965097259619,1.00605651878507,1.00276000905911
"12","G2M",44,0.0011072246407811,1.00716374342585,1.00605651878507
"12","S",49,0.00123304562268804,1.00839678904854,1.00716374342585
"12","gap",397.39,0.01,1.01839678904854,1.00839678904854
"13","G1",378,0.00951206623216488,1.02790885528071,1.01839678904854
"13","G2M",104,0.00261707642366441,1.03052593170437,1.02790885528071
"13","S",156,0.00392561463549662,1.03445154633987,1.03052593170437
"13","gap",397.39,0.01,1.04445154633987,1.03445154633987
"14","G1",248,0.00624072070258436,1.05069226704245,1.04445154633987
"14","G2M",146,0.00367397267168273,1.05436623971413,1.05069226704245
"14","S",201,0.0050580034726591,1.05942424318679,1.05436623971413
"14","gap",397.39,0.01,1.06942424318679,1.05942424318679
"15","G1",18,0.000452955534864994,1.06987719872166,1.06942424318679
"15","G2M",11,0.000276806160195274,1.07015400488185,1.06987719872166
"15","S",4,0.000100656785525554,1.07025466166738,1.07015400488185
"15","gap",397.39,0.01,1.08025466166738,1.07025466166738
"16","G1",276,0.00694531820126324,1.08719997986864,1.08025466166738
"16","G2M",173,0.00435340597398022,1.09155338584262,1.08719997986864
"16","S",221,0.00556128740028687,1.09711467324291,1.09155338584262
"16","gap",397.39,0.01,1.10711467324291,1.09711467324291
"17","G1",33,0.000830418480585823,1.1079450917235,1.10711467324291
"17","G2M",24,0.000603940713153325,1.10854903243665,1.1079450917235
"17","S",31,0.000780090087823045,1.10932912252447,1.10854903243665
"17","gap",397.39,0.01,1.11932912252447,1.10932912252447
"18","G1",755,0.0189989682679484,1.13832809079242,1.11932912252447
"18","G2M",668,0.0168096831827676,1.15513777397519,1.13832809079242
"18","S",613,0.0154256523817912,1.17056342635698,1.15513777397519
"18","gap",397.39,0.01,1.18056342635698,1.17056342635698
"19","G1",210,0.0052844812400916,1.18584790759707,1.18056342635698
"19","G2M",50,0.00125820981906943,1.18710611741614,1.18584790759707
"19","S",52,0.00130853821183221,1.18841465562797,1.18710611741614
"19","gap",397.39,0.01,1.19841465562797,1.18841465562797
"20","G1",37,0.000931075266111377,1.19934573089408,1.19841465562797
"20","G2M",12,0.000301970356576663,1.19964770125066,1.19934573089408
"20","S",14,0.00035229874933944,1.2,1.19964770125066
"20","gap",397.39,0.01,1.21,1.2
