"Cluster","CellCycle","Value","fraction","ymax","ymin"
"0","G1",2825,0.0577225639034756,0.0577225639034756,0
"0","G2M",8995,0.183792730021863,0.241515293925339,0.0577225639034756
"0","S",3488,0.0712694877505568,0.312784781675895,0.241515293925339
"0","gap",489.41,0.01,0.322784781675895,0.312784781675895
"1","G1",157,0.0032079442594144,0.32599272593531,0.322784781675895
"1","G2M",1184,0.0241923949245009,0.350185120859811,0.32599272593531
"1","S",346,0.00706973703030179,0.357254857890113,0.350185120859811
"1","gap",489.41,0.01,0.367254857890113,0.357254857890113
"2","G1",606,0.0123822561860199,0.379637114076132,0.367254857890113
"2","G2M",1129,0.0230685927954067,0.402705706871539,0.379637114076132
"2","S",615,0.0125661510798717,0.415271857951411,0.402705706871539
"2","gap",489.41,0.01,0.425271857951411,0.415271857951411
"3","G1",96,0.00196154553441899,0.42723340348583,0.425271857951411
"3","G2M",177,0.00361659957908502,0.430850003064915,0.42723340348583
"3","S",175,0.00357573404711796,0.434425737112033,0.430850003064915
"3","gap",489.41,0.01,0.444425737112033,0.434425737112033
"4","G1",5451,0.111379007376229,0.555804744488261,0.444425737112033
"4","G2M",1590,0.0324880979138146,0.588292842402076,0.555804744488261
"4","S",1798,0.0367381132383891,0.625030955640465,0.588292842402076
"4","gap",489.41,0.01,0.635030955640465,0.625030955640465
"5","G1",1422,0.0290553932285814,0.664086348869046,0.635030955640465
"5","G2M",371,0.00758055617989007,0.671666905048936,0.664086348869046
"5","S",364,0.00743752681800535,0.679104431866942,0.671666905048936
"5","gap",489.41,0.01,0.689104431866942,0.679104431866942
"6","G1",1059,0.0216382991765595,0.710742731043501,0.689104431866942
"6","G2M",735,0.0150180829978954,0.725760814041397,0.710742731043501
"6","S",548,0.0111971557589751,0.736957969800372,0.725760814041397
"6","gap",489.41,0.01,0.746957969800372,0.736957969800372
"7","G1",892,0.0182260272573098,0.765183997057682,0.746957969800372
"7","G2M",865,0.0176743425757545,0.782858339633436,0.765183997057682
"7","S",431,0.00880652213890194,0.791664861772338,0.782858339633436
"7","gap",489.41,0.01,0.801664861772338,0.791664861772338
"8","G1",707,0.0144459655503566,0.816110827322695,0.801664861772338
"8","G2M",552,0.0112788868229092,0.827389714145604,0.816110827322695
"8","S",474,0.00968513107619378,0.837074845221798,0.827389714145604
"8","gap",489.41,0.01,0.847074845221798,0.837074845221798
"9","G1",956,0.0195337242802558,0.866608569502053,0.847074845221798
"9","G2M",239,0.00488343107006395,0.871492000572117,0.866608569502053
"9","S",411,0.00839786681923132,0.879889867391349,0.871492000572117
"9","gap",489.41,0.01,0.889889867391349,0.879889867391349
"10","G1",325,0.00664064894464764,0.896530516335996,0.889889867391349
"10","G2M",127,0.00259496127990846,0.899125477615905,0.896530516335996
"10","S",144,0.00294231830162849,0.902067795917533,0.899125477615905
"10","gap",489.41,0.01,0.912067795917533,0.902067795917533
"11","G1",131,0.00267669234384259,0.914744488261376,0.912067795917533
"11","G2M",177,0.00361659957908502,0.918361087840461,0.914744488261376
"11","S",173,0.0035348685151509,0.921895956355612,0.918361087840461
"11","gap",489.41,0.01,0.931895956355612,0.921895956355612
"12","G1",1356,0.0277068306736683,0.95960278702928,0.931895956355612
"12","G2M",476,0.00972599660816085,0.969328783637441,0.95960278702928
"12","S",496,0.0101346519278315,0.979463435565272,0.969328783637441
"12","gap",489.41,0.01,0.989463435565272,0.979463435565272
"13","G1",395,0.00807094256349482,0.997534378128767,0.989463435565272
"13","G2M",91,0.00185938170450134,0.999393759833269,0.997534378128767
"13","S",136,0.00277885617376024,1.00217261600703,0.999393759833269
"13","gap",489.41,0.01,1.01217261600703,1.00217261600703
"14","G1",75,0.00153245744876484,1.01370507345579,1.01217261600703
"14","G2M",181,0.00369833064301915,1.01740340409881,1.01370507345579
"14","S",209,0.00427044809055802,1.02167385218937,1.01740340409881
"14","gap",489.41,0.01,1.03167385218937,1.02167385218937
"15","G1",248,0.00506732596391574,1.03674117815329,1.03167385218937
"15","G2M",78,0.00159375574671543,1.0383349339,1.03674117815329
"15","S",96,0.00196154553441899,1.04029647943442,1.0383349339
"15","gap",489.41,0.01,1.05029647943442,1.04029647943442
"16","G1",325,0.00664064894464764,1.05693712837907,1.05029647943442
"16","G2M",273,0.00557814511350401,1.06251527349257,1.05693712837907
"16","S",338,0.00690627490243354,1.06942154839501,1.06251527349257
"16","gap",489.41,0.01,1.07942154839501,1.06942154839501
"17","G1",728,0.0148750536360107,1.09429660203102,1.07942154839501
"17","G2M",797,0.0162849144888744,1.11058151651989,1.09429660203102
"17","S",865,0.0176743425757545,1.12825585909565,1.11058151651989
"17","gap",489.41,0.01,1.13825585909565,1.12825585909565
"18","G1",558,0.0114014834188104,1.14965734251446,1.13825585909565
"18","G2M",305,0.00623199362497701,1.15588933613943,1.14965734251446
"18","S",425,0.00868392554300076,1.16457326168243,1.15588933613943
"18","gap",489.41,0.01,1.17457326168243,1.16457326168243
"19","G1",419,0.00856132894709957,1.18313459062953,1.17457326168243
"19","G2M",155,0.00316707872744733,1.18630166935698,1.18313459062953
"19","S",177,0.00361659957908502,1.18991826893607,1.18630166935698
"19","gap",489.41,0.01,1.19991826893607,1.18991826893607
"20","G1",3,6.12982979505936e-05,1.19997956723402,1.19991826893607
"20","G2M",0,0,1.19997956723402,1.19997956723402
"20","S",1,2.04327659835312e-05,1.2,1.19997956723402
"20","gap",489.41,0.01,1.21,1.2
