ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group	mice	celltypes
GO:0008202	GO:0008202	steroid metabolic process	21/274	354/28943	3.19516022499583e-11	1.05695900242862e-07	8.11234364493679e-08	Akr1c12/Akr1c13/Akr1c19/Apob/Bmp2/Ces1f/Ces1g/Cyp2d10/Cyp2d26/Cyp2d34/Cyp2d9/Cyp3a13/Dhrs11/Ephx2/Hsd17b11/Hsd3b3/Malrd1/Nfkb1/Scp2/Sod1/Ugt2b34	21	1	GF	EC (Car1 high)
GO:0009410	GO:0009410	response to xenobiotic stimulus	18/274	317/28943	1.70131692970262e-09	2.81397820172813e-06	2.15977707075932e-06	Abcb1a/Akr1c12/Akr1c13/Aldh1a1/Cntnap2/Cyp2c65/Cyp2d10/Cyp2d26/Cyp2d34/Cyp2d9/Cyp2j6/Dpep1/Gclc/Gsta1/Gsto1/Hnf4a/Rb1/Sod1	18	1	GF	EC (Car1 high)
GO:0071466	GO:0071466	cellular response to xenobiotic stimulus	13/274	171/28943	1.05008830797861e-08	8.05692213649834e-06	6.18382746554891e-06	Akr1c12/Akr1c13/Cyp2c65/Cyp2d10/Cyp2d26/Cyp2d34/Cyp2d9/Cyp2j6/Dpep1/Gsta1/Gsto1/Hnf4a/Rb1	13	1	GF	EC (Car1 high)
GO:0006690	GO:0006690	icosanoid metabolic process	12/274	142/28943	1.19028357633496e-08	8.05692213649834e-06	6.18382746554891e-06	Cyp2c65/Cyp2d10/Cyp2d26/Cyp2d34/Cyp2d9/Cyp2j6/Cyp4f14/Dpep1/Edn1/Gpx4/Hpgd/Mgst2	12	1	GF	EC (Car1 high)
GO:0006805	GO:0006805	xenobiotic metabolic process	11/274	114/28943	1.21779355146589e-08	8.05692213649834e-06	6.18382746554891e-06	Akr1c12/Akr1c13/Cyp2c65/Cyp2d10/Cyp2d26/Cyp2d34/Cyp2d9/Cyp2j6/Gsta1/Gsto1/Hnf4a	11	1	GF	EC (Car1 high)
GO:0006631	GO:0006631	fatty acid metabolic process	20/274	453/28943	1.53507712914841e-08	8.46339190537158e-06	6.49580006229118e-06	Acad11/Acsl3/Ces1f/Ces1g/Cyb5a/Cyp2c65/Cyp2d10/Cyp2d26/Cyp2d34/Cyp2d9/Cyp2j6/Cyp4f14/Edn1/Ephx2/Fabp2/Gpx4/Hao2/Hnf4a/Hpgd/Scp2	20	1	GF	EC (Car1 high)
GO:0009636	GO:0009636	response to toxic substance	11/274	122/28943	2.48437092594437e-08	1.17404271757486e-05	9.01098146372606e-06	Abcb1a/Abcg2/Aldh1a1/Ddc/Ephx2/Esd/Mt1/Mt2/Slc30a4/Sod1/Trpm6	11	1	GF	EC (Car1 high)
GO:0009408	GO:0009408	response to heat	10/274	102/28943	4.86170616824156e-08	2.01031550056789e-05	1.54295201023666e-05	Chordc1/Cntnap2/Dnaja1/Gclc/Hsp90aa1/Hsp90ab1/Hspa1a/Hspa1b/Sod1/Tcim	10	1	GF	EC (Car1 high)
GO:0120254	GO:0120254	olefinic compound metabolic process	12/274	166/28943	6.80775393198916e-08	2.25200500070201e-05	1.72845289304819e-05	Aldh1a1/Bmp2/Cyp2c65/Cyp2d10/Cyp2d26/Cyp2d34/Cyp2d9/Cyp2j6/Cyp4f14/Ephx2/Gpx4/Scp2	12	1	GF	EC (Car1 high)
GO:0006457	GO:0006457	protein folding	12/274	169/28943	8.29205844459674e-08	2.49364812133873e-05	1.91391817879113e-05	Bag1/Chordc1/Dnaja1/Fkbp4/Hsp90aa1/Hsp90ab1/Hsp90b1/Hspa1a/Hspa1b/Hspa4l/Hspa8/Hsph1	12	1	GF	EC (Car1 high)
GO:0050892	GO:0050892	intestinal absorption	7/274	44/28943	1.79315369385026e-07	4.94312701604721e-05	3.79393571014634e-05	Abcb1a/Abcg2/Fabp2/Gcnt3/Isx/Slc5a1/Vdr	7	1	GF	EC (Car1 high)
GO:0006694	GO:0006694	steroid biosynthetic process	11/274	169/28943	6.90637449517329e-07	0.000163187763071666	0.000125249438213218	Apob/Bmp2/Ces1f/Ces1g/Dhrs11/Hsd17b11/Hsd3b3/Malrd1/Nfkb1/Scp2/Sod1	11	1	GF	EC (Car1 high)
GO:0006814	GO:0006814	sodium ion transport	13/274	250/28943	8.77185917434953e-07	0.000174088566524105	0.000133615993908274	Atp1b1/Edn1/Glrx/Nkain2/Slc10a2/Slc13a1/Slc17a4/Slc22a4/Slc5a1/Slc6a6/Slc9a2/Slc9a3r1/Trpm4	13	1	GF	EC (Car1 high)
GO:0034754	GO:0034754	cellular hormone metabolic process	10/274	139/28943	8.94651037155318e-07	0.000174088566524105	0.000133615993908274	Aldh1a1/Bmp2/Cyp2d10/Cyp2d26/Cyp2d34/Cyp2d9/Hsd17b11/Hsd3b3/Scp2/Ugt2b34	10	1	GF	EC (Car1 high)
GO:0006749	GO:0006749	glutathione metabolic process	8/274	81/28943	1.03095031521968e-06	0.000182076882300884	0.000139747164802944	Dpep1/Gclc/Glo1/Gpx4/Gsta1/Gsto1/Mgst2/Sod1	8	1	GF	EC (Car1 high)
GO:0050810	GO:0050810	regulation of steroid biosynthetic process	8/274	83/28943	1.24380015416747e-06	0.000196401460734677	0.000150741527172418	Apob/Bmp2/Ces1f/Ces1g/Malrd1/Nfkb1/Scp2/Sod1	8	1	GF	EC (Car1 high)
GO:0071900	GO:0071900	regulation of protein serine/threonine kinase activity	15/274	347/28943	1.30617658287874e-06	0.000196401460734677	0.000150741527172418	Abl1/Bmp2/Cdkn2b/Chordc1/Dnaja1/Dusp1/Edn1/Edn3/Hexim1/Hsp90ab1/Lrp6/Magi3/Rb1/Tcim/Trib1	15	1	GF	EC (Car1 high)
GO:0009820	GO:0009820	alkaloid metabolic process	4/274	10/28943	1.57789537801161e-06	0.0002174865796026	0.000166924721568597	Cyp2d10/Cyp2d26/Cyp2d34/Cyp2d9	4	1	GF	EC (Car1 high)
GO:0016098	GO:0016098	monoterpenoid metabolic process	4/274	10/28943	1.57789537801161e-06	0.0002174865796026	0.000166924721568597	Cyp2d10/Cyp2d26/Cyp2d34/Cyp2d9	4	1	GF	EC (Car1 high)
GO:0019218	GO:0019218	regulation of steroid metabolic process	9/274	117/28943	1.81395022535591e-06	0.000240021893819094	0.000184220966044566	Apob/Bmp2/Ces1f/Ces1g/Ephx2/Malrd1/Nfkb1/Scp2/Sod1	9	1	GF	EC (Car1 high)
