Gene	Class	Tissue
Nr1h4	LXR-FXR	Gut
Fgf15	LXR-FXR	Gut
Nr1h2	LXR-FXR	Gut
Npc1l1	CT	Gut
Abcg5	CT	Gut
Abcg8	CT	Gut
Scarb1	CT	Gut
Mttp	CET	Gut
Slc27a4	FAT	Gut
Slc27a2	FAT	Gut
Fabp1	FAT	Gut
Cd36	FAT	Gut
Sar1b	COPII	Gut
Sec13	COPII	Gut
Svip	COPII	Gut
Ykt6	SNAREs	Gut
Sec22b	SNAREs	Gut
Bet1	SNAREs	Gut
Sec22c	SNAREs	Gut
Vamp7	SNAREs	Gut
Acads	FAO	Gut
Cpt1a	FAO	Gut
Pparg	FAO	Gut
Ppard	FAO	Gut
Acox1	FAO	Gut
Hadha	FAO	Gut
Hadhb	FAO	Gut
Aadac	FAO	Gut
Acadm	FAO	Gut
Acadvl	FAO	Gut
Ehhadh	FAO	Gut
Eci2	FAO	Gut
Ppara	FAO	Gut
Ndufs1	FAO	Gut
Acsl1	FAO	Gut
Acot1	FAO	Gut
Cyp4a10	FAO	Gut
Dgat1	TAGS	Gut
Dgat2	TAGS	Gut
Agpat2	TAGS	Gut
Gpat3	TAGS	Gut
Agpat3	TAGS	Gut
Acat1	TAGS	Gut
Mgat1	TAGS	Gut
Mgat2	TAGS	Gut
Mgat3	TAGS	Gut
Agpat5	TAGS	Gut
Gpat4	TAGS	Gut
Agpat1	TAGS	Gut
Scd2	TAGS	Gut
Plin3	LD	Gut
Plin2	LD	Gut
Lipa	LP	Gut
Lipe	LP	Gut
Pnpla2	LP	Gut
Mgll	LP	Gut
Apoa1	LIP/R	Gut
Apob	LIP/R	Gut
Apoc3	LIP/R	Gut
Apoa4	LIP/R	Gut
Apoc2	LIP/R	Gut
Ldlr	LIP/R	Gut
Apoe	LIP/R	Gut
