Layer	Lpl	mice	se
L1	0.083300247151184	GF	0.00220171468831657
L2	0.0791363129567317	GF	0.00213864673796052
L3	0.0779040373738679	GF	0.00212495316183236
L4	0.0742063910871009	GF	0.00207053157500374
L5	0.0762960007075795	GF	0.00208200583663384
L6	0.0718276603426673	GF	0.00204385292552066
L7	0.0687856443546634	GF	0.00200381760877345
L8	0.0694788697589507	GF	0.00199471821582089
L9	0.0680870965796099	GF	0.00199293685246502
L1	0.0580506275320419	SPF	0.00199889151501327
L2	0.0417620511376439	SPF	0.00169067604772312
L3	0.0298029424537778	SPF	0.00142261532880073
L4	0.0310830183999929	SPF	0.00145498497121647
L5	0.0255628006655025	SPF	0.0013191060454077
L6	0.0231096511567661	SPF	0.00124973028088839
L7	0.0219314361585226	SPF	0.00121888472571454
L8	0.0172078451611242	SPF	0.00108402670973391
L9	0.0166044673002201	SPF	0.00106772651706516
