Layer	Zbtb20	mice	se
L1	0.189814451449122	GF	0.00320361425164569
L2	0.185874067213631	GF	0.00316859242891647
L3	0.19291981093255	GF	0.00322889238498695
L4	0.18982489790829	GF	0.003193397223415
L5	0.191438334289333	GF	0.00319599179861014
L6	0.188671572293621	GF	0.00318876908528369
L7	0.183459546111805	GF	0.00315842211718457
L8	0.195678974747844	GF	0.0032349155232474
L9	0.189579208431753	GF	0.00321017301946394
L1	0.282206538239796	SPF	0.00417043004459545
L2	0.273919643135955	SPF	0.00409568867771744
L3	0.272217491876567	SPF	0.00410461089123432
L4	0.267107369341013	SPF	0.00404213636491517
L5	0.257479428798713	SPF	0.00397916180677056
L6	0.25718084218379	SPF	0.00399290076136718
L7	0.26135849317528	SPF	0.00401749229876566
L8	0.253391897646645	SPF	0.00397150837621169
L9	0.252435560900722	SPF	0.00397107311123907
